"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"SIENKIEWICZ Bartłomiej Henryk - KKW KOALICJA OBYWATELSKA";"WILK-GRZYWNA Małgorzata Beata - KKW KOALICJA OBYWATELSKA";"MARCZUŁAJTIS-WALCZAK Jagna Kinga - KKW KOALICJA OBYWATELSKA";"SALWIŃSKA Sylwia Kinga - KKW KOALICJA OBYWATELSKA";"MĘKAL Małgorzata Katarzyna - KKW KOALICJA OBYWATELSKA";"MAJKA Magdalena - KKW KOALICJA OBYWATELSKA";"ZWIERZCHOWSKI Wojciech Mieczysław - KKW KOALICJA OBYWATELSKA";"KOZIOŁ Artur Stanisław - KKW KOALICJA OBYWATELSKA";"WITKA Jacek Paweł - KKW KOALICJA OBYWATELSKA";"SOWA Marek Jan - KKW KOALICJA OBYWATELSKA";"SZEJNA Andrzej Jan - KKW LEWICA";"KOLARSKA Dorota Anna - KKW LEWICA";"LIPIŃSKA-PIEKARSKA Joanna Olszyna - KKW LEWICA";"ŻAK Dominik Piotr - KKW LEWICA";"ANIOŁ Alina Maria - KKW LEWICA";"KOBIELUSZ Paweł Bernard - KKW LEWICA";"HAŃDEREK Joanna Ewa - KKW LEWICA";"KUKLA Robert Łukasz - KKW LEWICA";"TUCHOWSKI Daniel - KKW LEWICA";"DROPEK Magdalena - KKW LEWICA";"JARUBAS Adam Sebastian - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"GÓRNIKIEWICZ Piotr Tadeusz - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"NOWOGÓRSKA Urszula Teresa - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"MOTYCZYŃSKA Monika Elżbieta - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"RAŚ Ireneusz Jacek - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"KASPRZYK Rafał Marcin - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"TYJAS Jolanta Dorota - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"STOLECKI Piotr - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"DĄBROŚ Stella Józefa - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"KLĘCZAR Krzysztof Jan - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"BERKOWICZ Konrad Szczepan - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"BRAUN Grzegorz Michał - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"JASKÓŁKA Nadzieja - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"KONARSKI Artur Marian - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"IWAN Jasna Gabriela - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"DRWAL Aleksandra Urszula - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"NOWOWIEJSKA Ewa Krystyna - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"KRAJEWSKI Konrad Krzysztof - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"STRZELEC Marcin Piotr - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"DZIADOSZ Jagoda - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"KASELA Andrzej Jan - KW NORMALNY KRAJ";"KLICH Dariusz Zbigniew - KW NORMALNY KRAJ";"BILECKA Fabiola Katarzyna - KW NORMALNY KRAJ";"KURLETO Renata Janina - KW NORMALNY KRAJ";"STANKIEWICZ Aneta - KW NORMALNY KRAJ";"JANAS Mieszko Maria - KW NORMALNY KRAJ";"MIKOŁAJEK Maria Dorota - KW NORMALNY KRAJ";"BURZYŃSKI Zbigniew Józef - KW NORMALNY KRAJ";"ŻÓŁTEK Stanisław Józef - KW POLEXIT";"HAREŃCZYK Adam Wiesław - KW POLEXIT";"SAJDAK Anna Małgorzata - KW POLEXIT";"ŚLUSARCZYK Klaudia Dorota - KW POLEXIT";"BIGAJ Czesław - KW POLEXIT";"ZIĘBA Angelika Natalia - KW POLEXIT";"ŚMIŁEK Oskar Wojciech - KW POLEXIT";"MĘDREK Iwona Marzena - KW POLEXIT";"SZATAN Jarosław Kazimierz - KW POLEXIT";"JAGODZIŃSKI Marcin - KW PL!SP";"JAGODZIŃSKA Monika Ewa - KW PL!SP";"BŁACHUCKA Roksana Magdalena - KW PL!SP";"SZYDŁO Beata Maria - KW PRAWO I SPRAWIEDLIWOŚĆ";"MULARCZYK Arkadiusz - KW PRAWO I SPRAWIEDLIWOŚĆ";"TARCZYŃSKI Dominik - KW PRAWO I SPRAWIEDLIWOŚĆ";"KRUPKA Anna Maria - KW PRAWO I SPRAWIEDLIWOŚĆ";"WÓJCIK Michał Marek - KW PRAWO I SPRAWIEDLIWOŚĆ";"SKRUCH Wojciech - KW PRAWO I SPRAWIEDLIWOŚĆ";"RUSECKA Urszula Beata - KW PRAWO I SPRAWIEDLIWOŚĆ";"WŁOSOWICZ Jacek Władysław - KW PRAWO I SPRAWIEDLIWOŚĆ";"TLAŁKA-DŁUGOSZ Małgorzata - KW PRAWO I SPRAWIEDLIWOŚĆ";"PĘK Marek - KW PRAWO I SPRAWIEDLIWOŚĆ";"SKUZA Stanisław - KWW BEZPARTYJNI SAMORZĄDOWCY-NORMALNA POLSKA";"NOWAKOWSKA Elżbieta Paula - KWW BEZPARTYJNI SAMORZĄDOWCY-NORMALNA POLSKA";"WICHE Mateusz Andrzej - KWW BEZPARTYJNI SAMORZĄDOWCY-NORMALNA POLSKA";"KALISZ Beata - KWW BEZPARTYJNI SAMORZĄDOWCY-NORMALNA POLSKA";"TORKOWSKA Samuela - KWW BEZPARTYJNI SAMORZĄDOWCY-NORMALNA POLSKA";"GOCAŁ Dariusz Krzysztof - KWW BEZPARTYJNI SAMORZĄDOWCY-NORMALNA POLSKA";"SIEŃKO Natalia Izabela - KWW BEZPARTYJNI SAMORZĄDOWCY-NORMALNA POLSKA";"WOCH Marcin Grzegorz - KWW BEZPARTYJNI SAMORZĄDOWCY-NORMALNA POLSKA";"BUGAJSKI Marcin Rafał - KWW BEZPARTYJNI SAMORZĄDOWCY-NORMALNA POLSKA";"PETERSON Magdalena - KWW BEZPARTYJNI SAMORZĄDOWCY-NORMALNA POLSKA"
14;"Miejskie Przedszkole nr 1 w Bochni, ul. gen. Tadeusza Jakubowskiego 12, 32-700 Bochnia";120101;"m. Bochnia";"bocheński";"małopolskie";1;1;157;7;19;0;1;1;0;1;2;16;14;6;1;0;1;0;2;0;0;0;18;4;1;3;3;2;1;0;0;2;29;32;0;2;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;98;49;82;1;8;0;4;0;1;3;0;0;0;2;0;2;0;0;0;1
15;"Szkoła Podstawowa nr 7 im. Jana Pawła II w Bochni, ul. gen. Tadeusza Jakubowskiego 12, 32-700 Bochnia";120101;"m. Bochnia";"bocheński";"małopolskie";1;1;95;10;29;3;4;2;0;3;1;15;6;6;0;1;1;0;0;0;0;0;24;3;2;1;3;0;0;0;0;1;16;40;0;1;0;0;0;0;2;0;0;2;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;106;27;74;0;5;0;0;0;3;3;0;2;0;0;0;0;0;0;0;0
16;"Samodzielny Publiczny Zakład Opieki Zdrowotnej w Bochni ""Szpital Powiatowy"", ul. Krakowska 31, 32-700 Bochnia";120101;"m. Bochnia";"bocheński";"małopolskie";1;1;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17;"Dom Pomocy Społecznej w Bochni (świetlica DPS), ul. Karolina 14F, 32-700 Bochnia";120101;"m. Bochnia";"bocheński";"małopolskie";1;1;3;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;5;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;13;1;0;0;1;0;0;1;0;0;0;0;0;1;1;1;0;0;0;0
18;"Samodzielny Publiczny Zakład Opieki Zdrowotnej w Bochni ""Szpital Powiatowy"" Zakład Opiekuńczo-Leczniczy, ul. Karolina 16, 32-700 Bochnia";120101;"m. Bochnia";"bocheński";"małopolskie";1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;"Zespół Szkół Gminnych w Proszówkach-Szkoła Podstawowa, Proszówki 365, 32-700 Proszówki";120102;"gm. Bochnia";"bocheński";"małopolskie";1;1;69;5;27;1;1;2;0;3;0;10;12;5;3;0;1;0;0;0;0;0;36;4;10;4;3;0;1;0;0;3;40;90;1;1;1;1;0;1;0;1;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;137;28;121;4;7;0;2;0;1;7;3;1;1;0;0;0;1;0;0;0
2;"Świetlica Wiejska w Cikowicach, Cikowice 69, 32-700 Cikowice";120102;"gm. Bochnia";"bocheński";"małopolskie";1;1;49;3;13;1;0;2;0;2;0;7;2;1;0;0;1;0;0;0;0;1;11;6;1;2;2;1;0;0;0;4;12;35;4;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;61;7;51;1;2;0;4;0;2;4;0;0;0;1;1;0;0;0;0;0
3;"Świetlica Wiejska w Łapczycy, Łapczyca 496, 32-744 Łapczyca";120102;"gm. Bochnia";"bocheński";"małopolskie";1;1;57;3;14;1;0;1;1;1;1;7;3;6;1;0;1;0;1;0;0;1;37;0;3;2;3;3;0;0;1;0;31;77;1;1;0;0;3;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;155;74;115;2;8;0;8;0;1;2;0;0;0;0;0;0;1;0;1;0
4;"Zespół Szkół Gminnych im. Jana Pawła II w Nieszkowicach Małych, Nieszkowice Małe 112, 32-744 Nieszkowice Małe";120102;"gm. Bochnia";"bocheński";"małopolskie";1;1;20;2;11;2;0;0;0;1;0;7;4;1;0;0;0;0;0;0;0;1;19;1;1;4;1;0;2;0;0;3;20;49;0;0;0;0;0;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;83;17;37;2;1;0;1;0;0;1;0;0;0;0;0;0;0;0;2;0
5;"Galeria Wiejska w Chełmie, Chełm 75, 32-744 Chełm";120102;"gm. Bochnia";"bocheński";"małopolskie";1;1;19;2;2;0;0;0;0;1;0;0;1;3;0;0;0;0;0;0;0;0;8;1;0;2;0;0;0;0;0;0;10;17;0;2;0;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;45;17;17;0;1;0;4;0;2;0;0;0;0;0;0;1;0;0;0;0
6;"Zespół Szkół Gminnych im. Lotników Polskich w Nieszkowicach Wielkich, Nieszkowice Wielkie 67, 32-700 Nieszkowice Wielkie";120102;"gm. Bochnia";"bocheński";"małopolskie";1;1;25;0;5;2;0;1;0;3;0;0;2;4;1;0;0;0;0;0;0;0;28;1;0;2;4;0;1;0;0;3;42;63;3;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;1;0;164;43;52;4;1;0;3;0;1;2;1;0;0;0;0;0;0;0;0;0
7;"Zespół Szkół Gminnych im. Henryka Sienkiewicza w Bogucicach-Szkoła Podstawowa, Bogucice 83, 32-711 Bogucice";120102;"gm. Bochnia";"bocheński";"małopolskie";1;1;23;0;7;0;0;0;0;1;0;1;1;5;0;1;2;0;1;0;0;1;10;0;1;0;3;0;0;0;0;0;14;26;3;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;68;13;89;0;3;1;1;1;2;3;2;0;0;0;0;0;0;0;0;0
8;"Gminne Przedszkole w Bogucicach-Oddział w Cerekwi, Cerekiew 7, 32-711 Cerekiew";120102;"gm. Bochnia";"bocheński";"małopolskie";1;1;20;0;1;0;1;1;0;0;0;1;0;3;0;0;0;0;0;0;0;0;15;1;3;0;0;0;2;1;0;1;4;17;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;53;10;32;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1
9;"Zespół Szkół Gminnych im. Mikołaja Kopernika w Gawłowie, Gawłów 64, 32-711 Gawłów";120102;"gm. Bochnia";"bocheński";"małopolskie";1;1;22;1;13;0;0;0;0;0;0;3;1;1;2;0;0;0;0;0;0;1;7;2;0;1;0;1;0;0;0;0;20;34;0;2;0;1;1;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;52;8;87;0;4;0;1;0;0;4;1;0;0;0;0;0;0;0;0;0
10;"Gminne Przedszkole w Łapczycy-Oddział w Gierczycach, Gierczyce 39, 32-744 Gierczyce";120102;"gm. Bochnia";"bocheński";"małopolskie";1;1;33;2;6;1;0;1;0;1;0;7;2;0;0;0;0;0;0;0;0;1;11;2;2;2;4;2;2;0;0;1;16;48;0;0;1;2;1;0;0;2;1;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;59;16;57;0;1;0;1;0;0;1;0;1;0;1;0;0;0;0;0;0
11;"Świetlica Wiejska w Brzeźnicy, Brzeźnica 168, 32-700 Brzeźnica";120102;"gm. Bochnia";"bocheński";"małopolskie";1;1;27;3;9;1;1;1;0;0;0;8;1;1;1;0;0;0;0;0;0;0;17;1;2;0;0;0;2;0;0;0;36;43;0;1;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;135;24;59;4;7;0;2;0;1;2;0;0;0;0;0;0;0;0;1;0
